COMPANY,UA,UA_green,UA_blue,RU,RU_green,RU_blue,CZ,CZ_green,CZ_blue,HR,HR_green,HR_blue,BG,BG_green,BG_blue,PL,PL_green,PL_blue,CU,CU_green,CU_blue,AU,AU_green,AU_blue,AR,AR_green,AR_blue,BR,BR_green,BR_blue,TH,TH_green,TH_blue,SY,SY_green,SY_blue,IN,IN_green,IN_blue,GB,GB_green,GB_blue,MX,MX_green,MX_blue,ES,ES_green,ES_blue,KR,KR_green,KR_blue,PK,PK_green,PK_blue,BE,BE_green,BE_blue,EG,EG_green,EG_blue,PE,PE_green,PE_blue,VN,VN_green,VN_blue,NL,NL_green,NL_blue,IT,IT_green,IT_blue,DE,DE_green,DE_blue,DK,DK_green,DK_blue,NO,NO_green,NO_blue,SG,SG_green,SG_blue,FI,FI_green,FI_blue,CH,CH_green,CH_blue,SE,SE_green,SE_blue,NG,NG_green,NG_blue,JP,JP_green,JP_blue,ET,ET_green,ET_blue,PH,PH_green,PH_blue,TM,TM_green,TM_blue,IR,IR_green,IR_blue,CL,CL_green,CL_blue,AE,AE_green,AE_blue,ZA,ZA_green,ZA_blue,TR,TR_green,TR_blue,MA,MA_green,MA_blue,KE,KE_green,KE_blue,KG,KG_green,KG_blue,ZW,ZW_green,ZW_blue,AT,AT_green,AT_blue,SA,SA_green,SA_blue,FR,FR_green,FR_blue,GH,GH_green,GH_blue,PT,PT_green,PT_blue,LB,LB_green,LB_blue,SD,SD_green,SD_blue,IL,IL_green,IL_blue,LY,LY_green,LY_blue,OM,OM_green,OM_blue,QA,QA_green,QA_blue,LK,LK_green,LK_blue,ID,ID_green,ID_blue,GR,GR_green,GR_blue,VE,VE_green,VE_blue,NP,NP_green,NP_blue,CO,CO_green,CO_blue,PA,PA_green,PA_blue,IE,IE_green,IE_blue,HU,HU_green,HU_blue,BD,BD_green,BD_blue,LV,LV_green,LV_blue,NZ,NZ_green,NZ_blue,YE,YE_green,YE_blue,JO,JO_green,JO_blue,TJ,TJ_green,TJ_blue,DZ,DZ_green,DZ_blue,RO,RO_green,RO_blue,CN,CN_green,CN_blue,MY,MY_green,MY_blue,CR,CR_green,CR_blue,AO,AO_green,AO_blue,DO,DO_green,DO_blue,MM,MM_green,MM_blue,PG,PG_green,PG_blue,CY,CY_green,CY_blue,RE,RE_green,RE_blue,GT,GT_green,GT_blue,EE,EE_green,EE_blue,SI,SI_green,SI_blue,IQ,IQ_green,IQ_blue,UZ,UZ_green,UZ_blue,EH,EH_green,EH_blue,LT,LT_green,LT_blue,CD,CD_green,CD_blue,BH,BH_green,BH_blue,KZ,KZ_green,KZ_blue,IS,IS_green,IS_blue,KW,KW_green,KW_blue,SS,SS_green,SS_blue,AZ,AZ_green,AZ_blue,HT,HT_green,HT_blue,MD,MD_green,MD_blue,RS,RS_green,RS_blue,UY,UY_green,UY_blue,BT,BT_green,BT_blue,KP,KP_green,KP_blue,TZ,TZ_green,TZ_blue,ME,ME_green,ME_blue,KH,KH_green,KH_blue,MZ,MZ_green,MZ_blue,AL,AL_green,AL_blue,TW,TW_green,TW_blue,GP,GP_green,GP_blue,BY,BY_green,BY_blue,TN,TN_green,TN_blue,SK,SK_green,SK_blue,BA,BA_green,BA_blue,MK,MK_green,MK_blue,ZM,ZM_green,ZM_blue,MQ,MQ_green,MQ_blue,LA,LA_green,LA_blue,US,US_green,US_blue,CA,CA_green,CA_blue
COMISION FEDERAL DE ELEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71396.029,6175.865,19215.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATANG INTL POWER GEN CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69281.7,467.3,3745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEL SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67183.59,2266.62,17289.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA RESOURCES POWER HOLDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66109.1,213.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA HUADIAN GROUP CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63235.9,870.5,1144.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TENNESSEE VALLEY AUTHORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62875.522,3299.282,29294.24,,,
TAIWAN POWER CO (TAIPOWER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800.106,4319.73,14617.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAI ELECTRIC POWER CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55976.697,518.85,20618.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUBU ELECTRIC POWER CO INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000.445,1810.517,17840.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHENHUA GUOHUA ELEC POWER CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53065.25,1901.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
