,UA,RU,CZ,HR,BG,PL,CU,AU,AR,BR,TH,SY,IN,GB,MX,ES,KR,PK,BE,EG,PE,VN,NL,IT,DE,DK,NO,SG,FI,CH,SE,NG,JP,ET,PH,TM,IR,CL,AE,ZA,TR,MA,KE,KG,ZW,AT,SA,FR,GH,PT,LB,SD,IL,LY,OM,QA,LK,ID,GR,VE,NP,CO,PA,IE,HU,BD,LV,NZ,YE,JO,TJ,DZ,RO,CN,MY,CR,AO,DO,MM,PG,CY,RE,GT,EE,SI,IQ,UZ,EH,LT,CD,BH,KZ,IS,KW,SS,AZ,HT,MD,RS,UY,BT,KP,TZ,ME,KH,MZ,AL,TW,GP,BY,TN,SK,BA,MK,ZM,MQ,LA,US,CA
TH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993501586001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110387101163,0.0,0.0
SY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.00158153155158,0.0,0.0,0.0,0.0,0.0,0.000156880899817,0.0,0.0,0.991208613663,0.000624427385422,0.0,0.0,0.0,0.000537454114711,0.0,0.0,0.0,0.0,0.0,2.21093961058e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76706033872e-05,0.0,0.0,0.0,0.0,4.88556109227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000474321320111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000543322934115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80622199114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841584158416,0.0,0.0,0.0,0.54097084907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2093292257e-05,0.0
GB,0.0,0.0,0.0,0.013227354795,0.0,0.0,0.0,0.0,0.0,0.00131209479847,0.0,0.0,0.000176939855901,0.970617943956,0.0,0.00542382237133,0.0,0.0,0.0,0.0,0.013473607158,0.0,0.0178669170415,0.0,0.0069604953121,0.0304434235963,0.0239278196876,0.0,0.0,0.0,0.00870329316099,0.0,0.000310585757059,0.0,0.0,0.0,0.0,0.00599655178678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36607722576e-05,0.0,0.000114510117342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00396705104093,0.0,0.0,0.0,0.00925985819198,0.0,0.150690591645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09584885017e-06,2.00855040075e-06
MX,0.0,0.0,0.0,0.0,0.00054404251633,0.000338898967196,0.0,0.0,0.0,0.000975666155123,0.0,0.0,0.0,0.0,0.979016337714,0.00545854398799,0.0,0.0,0.0,0.0,0.000781356947606,0.0,0.0,4.09968685442e-06,0.000255095831858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129865673984,0.0,0.0,0.0,0.0,0.0252536642053,0.0,0.0,0.0,0.0,0.000986177727358,0.000504433329561,0.00256020541981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0524097590249,0.0,0.0029664313083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00400772311187,0.0,0.0,0.0157511528931,0.0,0.669996341828,0.0,0.0,0.0,0.0915268359488,0.0943768625638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0915268359488,0.0,0.0,0.0,0.0,0.0,0.0,0.0915268359488,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.00360555711443,3.3768156186e-05,0.00695009456761,0.0,0.0,0.0,0.000644524671472,0.0,0.0,0.0,0.00313477176638,0.00715027198876,0.959023843897,0.0,0.0,0.00728927014469,0.0,0.0039397925035,0.0,0.00585996305105,1.85079186277e-05,0.00367241354022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017770691985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153285166748,3.13096549383e-05,0.0648065714326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00156339644951,0.0,0.0,0.00267432727566,0.0,0.0,0.0328102510169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180927509517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568097602441,0.42606163707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568097602441,0.0,0.0,0.0,0.0,0.0,0.0,0.00568097602441,0.0,0.0,0.0
KR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988096420472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000971605579639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98936899736e-05,0.0,0.0,0.0,0.0,0.983517469997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015313998801,0.0,0.00727644751514,0.0,0.0,0.0,0.0,0.0,0.0,0.000378902066204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00143820776677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29246746719e-05,0.0,0.0,0.0,0.0,0.00623883368983,0.0,0.0,0.0,0.0,0.0,0.0,0.00109932335862,0.0,0.0,0.0,0.0,0.0,0.000525854636233,0.0,0.0,0.0,0.0,0.222772277228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232326584799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115005321435,0.000137017818061,0.0
BE,0.0,0.0,0.0,0.0,0.0,2.89017881031e-05,0.0,0.0,0.0,3.20603545305e-06,0.0,0.0,0.0,0.0,0.0,0.00142643944843,0.0,0.0,0.904454653212,0.0,0.0,0.0,0.0347407635626,6.21349824899e-08,0.0013716679049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028324630307,0.0,7.52372884869e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168536900581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00202466933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97673877675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00538611088215,0.00188095106437,0.0,0.0127692597361,0.0,0.0,0.0,0.0,0.00938451224024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00820840698931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555711422532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241272536583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
