,TO,LS,NL,CU,US,SV,MX,AR,AU,PA,DE,DK,BE,FI,CH,GL,JP,NG,BS,PH,TM,IR,RU,PE,CL,ES,GE,BR,TZ,LB,TD,CA,ZW,AT,SA,ET,CI,CN,NO,IT,AE,LY,EG,QA,SE,ZA,ID,GR,BO,FR,NP,OM,PL,IN,TR,KR,YE,UG,DZ,MZ,SG,CR,PT,MN,DO,LK,IL,MA,IE,RO,EC,GT,KW,KE,EE,PW,LV,NZ,CK,PF,SI,HU,CO,MR,UZ,GA,GH,BJ,CG,KZ,IS,SD,PK,BG,BH,IQ,SY,KG,WS,SR,UA,VE,AZ,PG,HN,TH,TV,BZ,MG,AO,NI,JO,VN,BD,KP,GB,AI,KM,GY,NE,JM,LI,BB,AM,AW,SH,ER,AF,CV,SB,MK,YT,CM,BF,TW,PY,TJ,LU,SN,CF,MY,AL,MD,MM,ML,ZM,GN,BA,GM,CZ,BY,BT,KH,UY,MU,HT,MQ,VC,SO,BN,SK,KI,GQ,SZ,MH,TN,GW,SL,RE,AN,FO,DJ,HR,TT,BI,FJ,GU,GD,MW,NC,FM,ST,MT,AG,LC,GF,GP,CY,MV,BM,AD,AS,DM,MC,KY,BW,RW,TC,LA,MP,LT,GI,TG,EH,LR,VU,AQ,PM,MS,FK,NR,KN,SC,CX
QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.000889592770815,0.0,0.0,0.0,0.0,1.53959123219e-05,3.88054301347e-06,0.0,2.55291265667e-05,2.34131682274e-05,2.37010306228e-07,0.00998656268295,2.974245762e-05,0.0,1.92182456186e-07,3.16254345553e-07,0.0,2.23055487176e-06,0.0,0.0,0.0,0.0,0.0,6.04326997079e-05,0.0,4.25802394038e-07,0.0,0.0,0.0,0.0,0.0,1.16157602438e-05,1.1171197716e-06,0.0,0.0,1.50018314691e-05,2.39496051846e-06,1.69773528741e-05,0.00029209370965,9.39080988973e-06,1.69132786931e-05,0.0,0.993276576156,0.0,1.95656207391e-05,0.0,2.88582916764e-05,0.000119240693496,0.0,0.0,0.0,2.39782163516e-07,2.91105891512e-06,3.50570904301e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00717789671e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.19314389338e-05,0.0,0.0,0.0,1.43282249331e-05,1.94894825368e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97143284391e-06,0.0,0.0,0.0,5.04472303907e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58924317037e-06,0.0,0.0,2.44398312139e-06,0.000111893841168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62619878697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,0.0,0.0,0.00023341688439,0.0,0.0,0.0,0.0,0.0,1.85894965416e-05,0.0,9.41071037643e-06,0.0,0.000135881726137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126193390561,0.000193728670062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999017284021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122541488085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,4.08331375225e-05,0.0,0.000150980841827,0.0,0.0,4.96570183789e-05,9.86752970275e-05,0.0,4.71557150997e-05,6.97062545757e-05,7.0563285509e-07,5.58449095535e-06,8.85499690786e-05,0.0,1.36628747812e-05,0.000238556111417,0.0,0.000451270125522,0.0,0.0,0.0,0.0,0.0,7.78259937919e-05,0.0,1.26770925615e-06,0.0,0.0,0.0,0.0,0.0,3.45827242509e-05,3.32591618677e-06,0.0,0.0,0.000521088436534,7.13033477473e-06,5.05453883887e-05,0.0,0.000204123230873,5.03546251768e-05,0.0,1.98735689834e-05,0.0,0.985665225371,0.0,8.59176087011e-05,5.49436704562e-05,0.0,0.0,0.0,7.13885296105e-07,8.66687548867e-06,1.04372823296e-05,0.0,0.0,0.0,0.0,0.000654525751461,0.0,0.0,0.0,0.0,7.12364873288e-05,0.0,0.0,0.0,8.95304326125e-06,0.00815595519868,0.0,0.0,0.0,0.0,0.0,3.55225705335e-05,0.0,0.0,0.0,4.26583401744e-05,5.80245619929e-06,0.0,0.0,0.0,0.00159694983677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84662221962e-06,0.0,0.0,0.0,1.50192722749e-05,0.0,0.0,0.0,0.0,0.00169956010092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06859821677e-05,0.0,0.0,0.0,0.00033313306863,0.0,3.77830428129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000137732316802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,0.0,0.0,0.000177056054843,0.0,0.0,0.0,0.0,0.0,0.000248722678357,0.0,0.000233998866538,7.47580355403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996241572179,0.0,4.90825868919e-06,0.0,0.0,1.85472164058e-05,0.0,0.0,2.01347533819e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74412862274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73057274607e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022670161033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BO,0.0,0.0,1.73490756429e-06,0.0,0.0,0.0,0.0,2.21735606216e-07,6.12340546471e-07,0.0,2.49932819479e-06,3.69454279394e-06,3.73996680184e-08,2.95986937506e-07,4.69328975074e-06,0.0,3.03259388789e-08,4.99041907556e-08,0.0,3.51976304441e-07,0.0,0.0,0.0,0.0,0.0,3.75823015987e-06,0.0,6.71906147538e-08,0.0,0.0,0.0,0.0,0.0,1.83293960425e-06,1.76278868458e-07,0.0,0.0,2.36725366732e-06,3.77919128214e-07,2.67898629147e-06,0.0,1.48184767949e-06,2.66887553664e-06,0.0,1.05333088866e-06,0.0,3.08740886362e-06,0.0,0.998109689755,0.0,0.0,0.0,0.0,3.78370605691e-08,4.5935823948e-07,5.53192628896e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74525588356e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.8827529579e-06,0.0,0.0,0.0,2.2609601427e-06,3.07539443465e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68885103225e-07,0.0,0.0,0.0,7.96045412154e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66374117419e-07,0.0,0.0,0.0,1.76565845579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30003271054e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.00192492524019,0.0,4.09817721491e-05,0.0,0.000830489663089,0.00322131595866,0.000883246318379,0.0,0.000816635958165,0.0,0.00289009560118,0.00303376002957,0.00152951345621,0.0,0.0,0.00125334367853,0.0,0.0,0.0,0.000376990720311,8.24187438209e-05,0.0,0.0,0.00175528931768,0.0,0.0,0.0,0.0,0.0,1.99325163807e-05,0.0,0.0,0.0,0.0,0.0,1.40100765922e-05,0.00074982386543,0.000488604461485,0.000843826272323,0.000979305774519,0.0,0.0,0.000420574644955,0.0,0.000190789305309,4.36220663217e-05,0.0,0.989802181535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000971849967943,0.0,0.000124262202367,0.0,0.00224251155964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00798971336016,0.0,0.0,0.0,0.0219332892014,0.00609065473336,0.0,0.0,0.0,0.0,0.0,0.0,0.00719128581691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97871846258e-05,0.0,0.0,0.0,0.0165118647963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06039568401e-06,0.0,0.0,0.000443195092195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00372508977225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041808344862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265026801286,0.0,0.0,0.0,0.0,0.0,0.0,0.00603086696139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000248261073704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980592423664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.000205664279093,0.0,0.0,0.0,0.0,0.0,0.000360740588009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13059522785e-05,0.0,0.0,0.0,0.0,0.992922929347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,2.05934628669e-06,0.0,8.94865406501e-07,0.0,0.0,2.06468389487e-07,5.3689931008e-07,0.0,2.97857848119e-06,3.23936980584e-06,3.2791975106e-08,2.59520920925e-07,4.11506970051e-06,0.0,8.89523809776e-05,4.37559226499e-08,0.0,3.08612317293e-07,0.0,0.0,0.0,0.0,0.0,3.29521079664e-06,0.0,5.89126343389e-08,0.0,0.0,0.0,0.0,0.0,1.60711880768e-06,1.54561058225e-07,0.0,0.0,2.07560460939e-06,3.3135894785e-07,2.34893132571e-06,0.0,1.29928191322e-06,2.34006623042e-06,0.0,9.23559007592e-07,0.0,2.70703564931e-06,0.0,3.99273937626e-06,0.0,0.0,0.0,0.0,0.999761534337,4.02764643429e-07,4.85038501055e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118570742936,0.0,0.0,0.0,4.160633531e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.65079508449e-06,0.0,0.0,0.0,1.98240659994e-06,2.69650141527e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11117783853e-07,0.0,0.0,0.0,6.97971471987e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96596011226e-07,0.0,0.0,0.0,1.54812679352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40065817695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR,0.0,0.0,5.27493028315e-06,0.0,0.0,0.0,0.0,6.7417993221e-07,1.86180160757e-06,0.0,7.59912646276e-06,1.12331377575e-05,1.13712479829e-07,8.99938701177e-07,1.42697955461e-05,0.0,9.22050353862e-08,1.51732076389e-07,0.0,5.23933147936e-05,0.0,0.0,0.0,0.0,0.0,1.14267771317e-05,0.0,0.00254193732493,0.0,0.0,0.0,0.0,0.0,5.57299352695e-06,5.35970192677e-07,0.0,0.0,7.19755813779e-06,1.14905087454e-06,8.14537108945e-06,0.0,4.50550989601e-06,8.11462966672e-06,0.0,3.20261846633e-06,0.0,9.38716669775e-06,0.0,1.38455916217e-05,0.0,0.0,0.0,0.0,1.15042357719e-07,0.99236177582,1.68196427904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000256952813765,0.0,0.0,0.0,0.0,1.44277968906e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.72444941607e-06,0.0,0.0,0.0,6.87437611734e-06,9.35063721541e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42562997662e-06,0.0,0.0,0.0,2.4203503044e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502117006449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72204216816e-06,0.0,0.0,0.0,5.36842737321e-05,0.0,0.0,0.0,0.0,0.0,0.018344719459,0.0,0.0,2.21955131244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,0.0,0.0,1.09562845056e-05,0.0,0.0,0.0,0.0,1.40030422181e-06,5.25301844195e-05,0.0,1.57837520215e-05,2.33317686784e-05,2.36186302751e-07,1.86921606892e-06,2.96390533045e-05,0.0,0.00016496558566,3.15154837753e-07,0.0,0.000114214641973,0.0,0.0,0.0,0.0,0.0,2.37339669943e-05,0.0,4.24322025277e-07,0.0,0.0,0.0,0.0,0.0,1.15753762328e-05,1.11323592963e-06,0.0,0.0,1.49496752507e-05,2.38663406285e-06,1.69183284459e-05,0.0,0.000574823217402,1.68544770289e-05,0.0,6.65199295468e-06,0.0,1.94975977921e-05,9.62681048e-06,2.87579613023e-05,0.0,0.0,0.0,0.0,2.38948523243e-07,2.90093816254e-06,0.998835902195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99672297143e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.18899574163e-05,0.0,0.0,0.0,1.42784106134e-05,1.94217242961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242084650475,0.0,0.0,0.0,2.9611021919e-06,0.0,0.0,0.0,5.02718426875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96266780276e-06,0.0,0.0,0.0,0.000111504824692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61011508181e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
