,CN,NL,KR,MY,DE,JP,US,RU,ZA,IN,PL,TW,ID,TR,LA,PK,VN,TH,SI,MX,AU,IT,BE,PH,CA,FR,BR,IL,CL,MA,BA,BG,SA,UA,LK,EG,AT,ES,UZ,KP,VE,IQ,FI,GR,DK,KZ,BD,IE,SG,CO,LT,GB,TN,EE,HU,SK,PT,DZ,ZM,LY,BW,CZ,RS,KH,AR,AZ,BY,NC,HR,PE,LV,AE,OM,NZ,KW,SY,RO,IR,SE,MN,QA,BH,GT,CU,NG,AM,GH,MK,JO,XK,CG,AO,TM,ZW,MM,KG,SD,NO,GE,CI,YE,TJ,MZ,LB,TT,CY,EC,RE,DO,MG,PA,AL,MU,GP,SS,KE,ME,SN,UY,BQ,CM,BO,DJ,HT,EH,TZ,NI,UG,CH,SV,GQ,MQ,GU,JM,PG,GN,CR,BN,IM,MT,ET,TD,BS,AS,HN,MD,ER,PS,BB,NE,SR,AW,BZ,PY,ML,KY,LR,RW,MR,GW,TL,TG,BF,GA,PF,BJ,AF,SL,GY,BM,CD,LC,GF,MF,MW,GM,FJ,TC,YT,ST,CV,GD,PW,FO,MP,WS,AG,SC,AQ,PM,KN,MV,LU,VC,GL,MH,GI,AI,TO,VU,SB,SO,CK,NP,MS,SZ,IS,FM,SH,DM,BT,KI,NR,KM,BI,TV,FK,CF,WF,LS,NU,LI,MC,AD,TK,GS
CN,0.998373212708,0.0,0.00751794075707,0.00256080332008,9.02009391109e-06,0.000192217508861,2.94236720786e-05,0.0,0.0,8.18382055816e-05,0.0,0.000235302806922,7.93033607561e-07,0.0,0.0,0.000692131513832,0.0,0.0,0.0,0.0,3.84853354464e-06,4.78125634198e-06,0.0,0.000629994240571,0.0,5.11716802656e-06,0.0,1.86253127708e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.38013201332e-06,0.0,0.0,0.0,0.0,0.00162801803534,1.59046443652e-07,0.0,0.0,0.0,0.0,0.0,0.000283913499949,0.0,0.00826331286185,0.0,0.0,8.14882597311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366645708127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149078202973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44514601248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00860096244457,0.0,1.64525736518e-05,0.0,0.0,0.0,2.05655694785e-05,0.0,0.0,0.0,0.0,0.0,0.000494834350847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000230158936469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.933761388382,0.0,0.0,0.00238657941029,2.97325969285e-05,1.70278021393e-05,0.0,3.34572845812e-05,0.0,0.0,0.0,7.12893012391e-07,0.0,0.0,0.0,4.3257010436e-05,0.0,0.0,0.0,5.19523684963e-05,1.133196706e-05,0.0412913268731,4.90110269832e-06,0.0,0.000929361472583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255851451362,0.00172082861113,0.0,0.0,0.0,3.92155627735e-05,0.000486245320346,9.33787056021e-05,7.99774788394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00263075209524,0.0,0.0,3.5063982777e-06,0.000159567325595,0.0,0.0,0.0,0.0,0.0,2.61766290356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1736956659e-05,0.0,0.0,0.0,0.0,0.0,1.79602440464e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23764585364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24210775193e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000494913929716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71427211668e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,0.000559066932267,0.0,0.991518935328,0.0,0.0,0.000265024826152,0.0,0.0,0.0,5.40367248086e-06,0.0,1.25878537675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33163475689e-05,0.0,0.0,6.07411612336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45343087492e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70908881902e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5127106838e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,7.14999572135e-05,0.0,0.0,0.989120955449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00367593796002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34862547417e-05,0.0,0.0,0.0,0.0,5.78211076447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79713495652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20771296396e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160515639272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026006659488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,1.534347603e-06,0.0133701399413,0.0,0.0,0.980827291449,3.79399500213e-05,2.25125960645e-08,0.0,0.000356877702199,2.1835243383e-05,0.00279200007199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000387885487114,0.0015556519389,0.0117132256368,0.0,0.0,0.00445513553788,0.0,0.0,0.00178343596664,0.0,0.0,0.00292684807844,0.0,0.0,0.0,0.0,0.0128458726819,0.00560442620908,0.0,0.0,0.0,0.0,0.0010054260509,0.00141718735121,0.00282092353952,0.0,0.0,0.0,0.0,0.00226433893132,0.0,0.00326042917537,0.0,0.0,0.000261543605345,0.00064833211686,0.000162615315723,0.0,0.0,0.000975699508913,0.0,0.00149022371992,0.0,0.0,0.0,0.0,0.000147646791778,0.0,0.0,0.00245999544189,0.0,0.0,0.0,0.0,0.0,0.0,2.46847004851e-05,0.0,0.000158017076998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55049293823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00559838865245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,4.74341597752e-05,0.000241645367765,0.000879467752213,0.0,5.50404938588e-05,0.997630716452,1.33526628397e-05,1.98082386683e-06,0.0,5.5401480445e-05,0.0,0.0,0.00081131552508,0.0,0.0,3.00314132014e-05,0.000158055637851,0.000174029781242,0.0,0.0,0.00026070378506,7.8575164424e-06,0.0,0.000115127444463,0.0,0.0,0.000108524592223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19302570198e-06,0.0,0.0,0.00144796635924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29190432069e-05,0.0,0.0,0.000585276219732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122465958386,0.0,0.0,0.0,0.0,0.0,0.00232842467216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039818894341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000842065529245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92877391671e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125413109464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545675195731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,3.84989680447e-05,0.000733766998306,0.0,0.0,1.73166985062e-07,7.07981373946e-05,0.99105657486,3.99466146477e-06,0.0,0.00018158980143,0.0033434249663,3.39545047723e-05,0.00105165707516,0.000795282351048,0.0,0.00314499380091,0.0,8.15812784628e-06,0.0,0.0,0.000237391503926,0.00369528792182,7.00427915578e-06,0.00598987447736,0.0638908569789,0.000118412779685,0.00581233720816,0.00200982561294,0.000899432607313,0.0,0.0,0.0033773315182,2.31446158505e-05,0.0,6.439268499e-06,0.0,0.0,0.000179956288726,0.0,0.0,0.0,0.0,0.0,0.000124742200216,0.0,0.0,0.00300635360683,0.000905386275377,0.0151963277215,0.00992804341103,0.0,0.00331821445655,0.0,0.0,0.0,0.0,7.50487606808e-05,0.0,0.0,0.000700409969239,0.0,0.0,0.0,0.0,0.000516811322407,0.0,0.0,0.0,0.00908344961124,0.0,0.0,0.0,0.0,0.0,2.3138261784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261731402453,0.00593169261907,0.0,0.0216738334571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000399051305137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35715083969e-05,0.0,0.0,0.0,0.0,0.0,0.000296912031043,0.00161708086896,0.0,0.0,0.0,0.0,0.000779716159956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844458130921,0.0,0.0,0.0,0.0,0.0,0.0100872517835,0.0,0.0,0.108944239417,0.0,0.0,0.0,0.00372671010089,0.0,0.0,0.0,1.71615633816e-05,0.0,0.0,0.0,0.00180692073898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403359379648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000156530760833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593494609708,0.251049199321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241649938454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.0,0.0,0.0,1.7474702091e-06,6.64645320567e-07,0.992748449942,0.0,0.0,0.0,0.0,0.000121543575749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24585995914e-06,9.04419064689e-06,4.59732441672e-05,0.0,0.0,0.00017214360133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0311697846178,2.86547448206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59795355305e-05,0.0,0.0,0.0,0.0,0.0,3.10174470003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000145548112335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18289452657e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.8058695018e-05,0.0,0.0,0.0,0.0,0.0,0.000423860367748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792299102038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,0.0,5.34133085235e-05,0.0,0.0,0.000101699341302,0.0,0.0,0.0,0.996935966251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8622815202e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00274921185792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00307322797711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052227905455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139832289886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123728142765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234155134155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,3.47915676449e-05,0.0,3.08917144324e-05,0.0,5.45711663984e-05,9.54423231628e-05,5.90006962194e-05,0.0,0.0,0.993660153761,0.0,7.45946889928e-06,0.000485598104584,0.0,0.0,0.000493444012291,0.0,0.000568007719167,0.0,0.0,0.000135743582132,4.45891456691e-05,0.0,0.000345285940489,8.35493664999e-06,2.62056287229e-07,0.00013131475659,0.0,0.0,0.0,0.0,1.42744358335e-05,0.0,0.0,0.0,0.0,0.0,7.19628498038e-07,0.0,0.0,0.0,0.0,0.0,5.27228234218e-07,0.0,0.0,0.000438775409012,0.0,0.0,0.0,0.0,0.000577247305081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148183809647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75164153755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45886475908e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132923965052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164058945645,0.0,0.0,0.0,0.0,0.0,0.0,0.446784315318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
