,CN,NL,KR,MY,DE,JP,US,RU,ZA,IN,PL,TW,ID,TR,LA,PK,VN,TH,SI,MX,AU,IT,BE,PH,CA,FR,BR,IL,CL,MA,BA,BG,SA,UA,LK,EG,AT,ES,UZ,KP,VE,IQ,FI,GR,DK,KZ,BD,IE,SG,CO,LT,GB,TN,EE,HU,SK,PT,DZ,ZM,LY,BW,CZ,RS,KH,AR,AZ,BY,NC,HR,PE,LV,AE,OM,NZ,KW,SY,RO,IR,SE,MN,QA,BH,GT,CU,NG,AM,GH,MK,JO,XK,CG,AO,TM,ZW,MM,KG,SD,NO,GE,CI,YE,TJ,MZ,LB,TT,CY,EC,RE,DO,MG,PA,AL,MU,GP,SS,KE,ME,SN,UY,BQ,CM,BO,DJ,HT,EH,TZ,NI,UG,CH,SV,GQ,MQ,GU,JM,PG,GN,CR,BN,IM,MT,ET,TD,BS,AS,HN,MD,ER,PS,BB,NE,SR,AW,BZ,PY,ML,KY,LR,RW,MR,GW,TL,TG,BF,GA,PF,BJ,AF,SL,GY,BM,CD,LC,GF,MF,MW,GM,FJ,TC,YT,ST,CV,GD,PW,FO,MP,WS,AG,SC,AQ,PM,KN,MV,LU,VC,GL,MH,GI,AI,TO,VU,SB,SO,CK,NP,MS,SZ,IS,FM,SH,DM,BT,KI,NR,KM,BI,TV,FK,CF,WF,LS,NU,LI,MC,AD,TK,GS
CN,0.998728319144,0.0,0.00820137255956,0.002652722474,5.73212129252e-06,0.000193639081157,3.04993736226e-05,0.0,0.0,8.76432969814e-05,0.0,0.000231987399004,9.6102658864e-07,0.0,0.0,0.000715760065568,0.0,0.0,0.0,0.0,3.97368219731e-06,0.0,0.0,0.000639955947861,0.0,5.26550404747e-06,0.0,2.10426278823e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.00351182372e-05,0.0,0.0,0.0,0.0,0.00168686622026,1.72811004601e-07,0.0,0.0,0.0,0.0,0.0,0.000330173768293,0.0,0.00885073148027,0.0,0.0,8.44302632157e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00704377994804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015450815621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49539248486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00911092390831,0.0,1.76121915031e-05,0.0,0.0,0.0,2.05982002228e-05,0.0,0.0,0.0,0.0,0.0,0.00049681039282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000230158936469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.0,0.92888930934,0.0,0.0,0.00246663160889,3.02295099896e-05,1.76503224353e-05,0.0,3.35660124902e-05,0.0,0.0,0.0,9.10809567e-07,0.0,0.0,0.0,4.90024950744e-05,0.0,0.0,0.0,5.36417831382e-05,2.21816937058e-06,0.0430636946569,5.25573783671e-06,0.0,0.000957768949559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000273057091315,0.00177801285899,0.0,0.0,0.0,3.26820051361e-05,0.000490818889176,9.66125907411e-05,8.0545813215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00268526902539,0.0,0.0,3.72482451549e-06,0.000168731983295,0.0,0.0,0.0,0.0,0.0,2.63786025536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111623019043,0.0,0.0,0.0,0.0,0.0,2.12498093784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35259341845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28999666943e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000516493349494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76287087649e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,0.000621059943235,0.0,0.990743571986,0.0,0.0,0.000269424409423,0.0,0.0,0.0,5.78860396747e-06,0.0,1.27201878525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36275662567e-05,0.0,0.0,6.17016234564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16268100634e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27592864091e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MY,8.00008361053e-05,0.0,0.0,0.988730455889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044546335541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.49003638115e-05,0.0,0.0,0.0,0.0,5.94972208753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95266671865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54014273623e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00167363751551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026006659488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,1.04789066111e-06,0.0143296868968,0.0,0.0,0.982648579446,6.02342524692e-06,2.33356352243e-08,0.0,0.000358037466562,4.37584976919e-06,0.00188647097309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000395873363399,0.000996693259516,0.0122099094821,0.0,0.0,0.00318962367283,0.0,0.0,0.00184412889507,0.0,0.0,0.00236843644493,0.0,0.0,0.0,0.0,0.0135821309267,0.00535616030594,0.0,0.0,0.0,0.0,0.00101488297532,0.00139419495199,0.00150487599695,0.0,0.0,0.0,0.0,0.00236655130409,0.0,0.00327802830777,0.0,0.0,0.000107851922137,0.0,9.02720387914e-05,0.0,0.0,0.000995612776886,0.0,0.00129355447917,0.0,0.0,0.0,0.0,0.000154085816555,0.0,0.0,0.00256589194971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167512061301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77734269537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00356845401593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,5.25874074507e-05,0.000260886535385,0.000966225975437,0.0,8.94811741389e-06,0.997898993137,1.27453945902e-05,0.0,0.0,5.93381226719e-05,0.0,0.0,0.000984491894854,0.0,0.0,3.1056650149e-05,0.000179048911084,0.000181496441906,0.0,0.0,3.37486759803e-05,1.10062686205e-06,0.0,0.000116947883174,0.0,0.0,0.000113203881148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44088167931e-06,0.0,0.0,0.00157077714861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38374262621e-05,0.0,0.0,0.0006241633592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012489594297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000445572342226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18114426734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142381402976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00545675195731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,4.30762444175e-05,0.000792193666854,0.0,0.0,1.80287634867e-07,6.62844184543e-05,0.991760744174,0.0,0.0,0.000151259875115,0.00344733467383,3.4059869827e-05,0.00127408387396,0.00100805520248,0.0,0.00325236017167,0.0,0.0,0.0,0.0,0.000245111126616,0.00337962699113,0.0,0.00608001439144,0.0573447611995,0.000121819092895,0.00604129503523,0.00223951354634,0.00041475431566,0.0,0.0,5.96461804252e-05,2.69080870737e-05,0.0,5.27115893761e-06,0.0,0.0,3.69509348587e-06,0.0,0.0,0.0,0.0,0.0,2.71154472656e-06,0.0,0.0,0.00349620253833,0.000937339852733,0.0110645931539,0.0102835967087,0.0,0.00343430865469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000716697042532,0.0,0.0,0.0,0.0,0.000542028430819,0.0,0.0,0.0,0.00926368453384,0.0,0.0,0.0,0.0,0.0,2.74184944915e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024124400539,0.00605372830677,0.0,0.02238075239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000412371233709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35715083969e-05,0.0,0.0,0.0,0.0,0.0,0.000347313537956,0.00180457313002,0.0,0.0,0.0,0.0,0.000795754158102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0894527074634,0.0,0.0,0.0,0.0,0.0,0.0099646101686,0.0,0.0,0.103903902536,0.0,0.0,0.0,0.00386482142437,0.0,0.0,0.0,1.73831677589e-05,0.0,0.0,0.0,0.00188004299836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410680598597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015192654807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0591712034444,0.249936587608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293579963979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992538770744,0.0,0.0,0.0,0.0,7.09133145128e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35141055287e-06,9.38607039409e-06,2.42124536568e-05,0.0,0.0,8.93254078305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318779506472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63418740301e-06,0.0,0.0,0.0,0.0,0.0,1.7897113575e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.58974908499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05769160258e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.29403923659e-06,0.0,0.0,0.0,0.0,0.0,0.000267088377443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000472359431265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,0.0,5.76663775227e-05,0.0,0.0,0.000105881231947,0.0,0.0,0.0,0.996926008899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15046988571e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00277507063565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308241744957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000533192333359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144694137222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125124902858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238468073816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,3.89235925798e-05,0.0,3.39485376043e-05,0.0,1.0630556906e-05,9.7037425571e-05,4.7563196809e-05,0.0,0.0,0.99355934415,0.0,7.53788909778e-06,0.000588465211876,0.0,0.0,0.000510289607587,0.0,0.0,0.0,0.0,0.000140015207447,0.0,0.0,0.000350745732419,0.0,0.0,0.000136976696189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000510268550998,0.0,0.0,0.0,0.0,0.000593811162623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00151124090994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140805187674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163920218412,0.0,0.0,0.0,0.0,0.0,0.0,0.430231451562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
